is_weekend,hour,elevation_m,num_vehicles,driver_age,driving_exp_yrs,estimated_speed_kmh,speed_limit_kmh,speeding,precipitation_mm,temp_avg_c,visibility_km,wind_speed_kmh,road_slope_deg,wx_tavg,wx_tmin,wx_tmax,wx_prcp,wx_wspd,wx_pres,wx_temp_range,wx_is_rainy,wx_heavy_rain,wx_rain_3day,wx_pressure_drop,vehicle_risk_weight,is_heavy_vehicle,is_two_wheeler,veh_bus,veh_car,veh_lorry,veh_motorcycle,veh_three-wheeler,speed_ratio,speed_excess_kmh,is_over_limit,hour_sin,hour_cos,is_night,is_morning_peak,is_evening_peak,is_monsoon,season_enc,road_curv_enc,surface_enc,is_sharp,slope_cat,is_steep,slope_x_curve,acc_fell_off_road,acc_head_on,acc_hit_barrier,acc_overturn,acc_pedestrian_hit,acc_rear_end,acc_sideswipe,acc_vehicle_fire,weather_enc,vis_class,rain_intensity,is_low_vis,is_fog_risk,young_driver,senior_driver,inexperienced,exp_ratio,high_risk_combo,wet_night,lorry_steep,moto_rain,vis_rain_prod,speed_wet,rain_x_curve,vis_x_night,location_risk
0,17,591,1,34.0,13.0,88.0,60,1,0.0,29.2,0.2,26.0,9.2,29.2,22.307142857142857,31.085714285714285,0.0,26.0,1010.7,8.778571428571428,0,0,0.0,0.0,4,1,0,0,0,1,0,0,1.467,28.0,1,-0.9659258262890683,-0.25881904510252063,0,0,1,0,1,1,0,0,1.0,0,9.2,0,0,0,1,0,0,0,0,3,3.0,0.0,1,1,0,0,0,0.765,0,0,0,0,0.0,0.0,0.0,0.0,0.6274509803921569
0,17,561,2,27.0,9.0,71.0,50,1,0.0,26.1,8.1,16.8,13.4,26.1,22.307142857142857,31.085714285714285,0.0,16.8,1008.6,8.778571428571428,0,0,0.0,-2.1,4,1,0,0,0,1,0,0,1.42,21.0,1,-0.9659258262890683,-0.25881904510252063,0,0,1,0,1,2,3,1,2.0,1,26.8,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.9,0,0,1,0,0.0,0.0,0.0,0.0,1.2295081967213115
0,9,587,3,36.0,6.0,80.0,60,1,0.0,26.2,0.45,26.7,6.9,26.2,22.307142857142857,31.085714285714285,0.0,26.7,1012.9,8.778571428571428,0,0,0.0,4.3,4,0,1,0,0,0,1,0,1.333,20.0,1,0.7071067811865476,-0.7071067811865475,0,1,0,0,1,1,1,0,1.0,0,6.9,0,1,0,0,0,0,0,0,2,2.0,0.0,1,1,0,0,0,0.316,0,0,0,0,0.0,20.0,0.0,0.0,0.59375
0,7,612,1,27.0,9.0,67.0,50,1,0.0,29.0,6.0,5.4,15.0,29.0,22.307142857142857,31.085714285714285,0.0,5.4,1012.4,8.778571428571428,0,0,0.0,-0.5,2,0,0,0,1,0,0,0,1.34,17.0,1,0.9659258262890683,-0.25881904510252063,0,1,0,0,1,2,0,1,2.0,1,30.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.9,0,0,0,0,0.0,0.0,0.0,0.0,1.2295081967213115
0,7,471,1,54.0,15.0,64.0,50,1,4.8,30.2,2.0,27.0,11.1,30.2,22.307142857142857,31.085714285714285,4.8,27.0,1010.7,8.778571428571428,1,0,4.8,-1.7,2,0,0,0,1,0,0,0,1.28,14.0,1,0.9659258262890683,-0.25881904510252063,0,1,0,0,1,2,1,1,2.0,1,22.2,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0,0,0,0,0.405,1,0,0,0,1.0,14.0,2.0,0.0,1.1355932203389831
0,8,540,1,37.0,3.0,49.0,50,0,0.0,23.8,6.6,13.4,13.9,23.8,22.335714285714285,33.01428571428571,0.0,13.4,1007.7,10.678571428571427,0,0,4.8,-3.0,4,0,1,0,0,0,1,0,0.98,0.0,0,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,2,0,1,2.0,1,27.8,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.15,0,0,0,0,0.0,0.0,0.0,0.0,1.196078431372549
0,22,656,1,56.0,5.0,60.0,50,1,0.0,28.1,9.8,4.3,13.3,28.1,22.335714285714285,33.01428571428571,0.0,4.3,1012.3,10.678571428571427,0,0,4.8,4.6,3,1,0,1,0,0,0,0,1.2,10.0,1,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,2,0,1,2.0,1,26.6,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0.128,0,0,1,0,0.0,0.0,0.0,0.0,1.1929824561403508
0,9,605,3,18.0,0.0,42.0,50,0,0.0,28.8,9.4,20.7,13.4,28.8,22.335714285714285,33.01428571428571,0.0,20.7,1009.0,10.678571428571427,0,0,0.0,-3.3,4,1,0,0,0,1,0,0,0.84,0.0,0,0.7071067811865476,-0.7071067811865475,0,1,0,0,0,2,0,1,2.0,1,26.8,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,1,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.2295081967213115
0,18,515,1,21.0,2.6,100.0,70,1,0.0,30.1,9.2,3.4,2.4,30.1,22.335714285714285,33.01428571428571,0.0,3.4,1014.2,10.678571428571427,0,0,0.0,5.2,2,0,0,0,1,0,0,0,1.429,30.0,1,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,3,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,1,0,1,0.65,0,0,0,0,0.0,0.0,0.0,0.0,0.15789473684210525
0,12,467,1,21.0,2.0,66.0,50,1,0.0,27.4,8.7,17.4,12.9,27.4,22.335714285714285,33.01428571428571,0.0,17.4,1013.2,10.678571428571427,0,0,0.0,-1.0,4,0,1,0,0,0,1,0,1.32,16.0,1,1.2246467991473532e-16,-1.0,0,0,0,0,0,2,0,1,2.0,1,25.8,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0.5,0,0,0,0,0.0,0.0,0.0,0.0,1.1428571428571428
