accident_id,date,time,day_of_week,is_weekend,hour,location_name,latitude,longitude,elevation_m,vehicle_type,num_vehicles,accident_type,driver_age,driver_gender,driving_exp_yrs,estimated_speed_kmh,speed_limit_kmh,speeding,weather_condition,precipitation_mm,temp_avg_c,visibility_km,wind_speed_kmh,pressure_hpa,road_curvature,road_slope_deg,surface_condition,severity,injuries,fatalities,risk_score,reporting_officer,terrain,is_wet_road,risk_probability,description,wx_tavg,wx_tmin,wx_tmax,wx_prcp,wx_wspd,wx_pres,month,wx_temp_range,wx_is_rainy,wx_heavy_rain,wx_rain_cat,wx_rain_3day,wx_pressure_drop
KDG-0001,2021-01-07,7:56:59,Thursday,0,7,Upper Kadugannawa Pass,7.253381,80.507612,620,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,medium,1,0,7,SLP-1000,Hairpin Bends / Steep Gradient,1,0.72,Motorcycle involved in Slipped incident at Upper Kadugannawa Pass,26.0,22.74310344827586,29.849999999999998,2.0,15.0,1009.0,1,7.1,1,0,light,2.0,0.0
KDG-0002,2021-01-07,7:56:59,Thursday,0,7,Pahala Kadugannawa (Lower Pass),7.249767,80.494511,560,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,11.0,wet,medium,1,0,7,SLP-1001,Steep Winding Road,1,0.66,Motorcycle involved in Slipped incident at Pahala Kadugannawa (Lower Pass),26.0,22.74310344827586,29.849999999999998,2.0,15.0,1009.0,1,7.1,1,0,light,4.0,0.0
KDG-0003,2021-01-07,7:56:59,Thursday,0,7,Hingula / Ganethenna,7.251268,80.479769,520,van,1,slipped,34,male,10,52,60,0,light_rain,2.0,26.0,4.0,15.0,1009.0,mild,7.0,wet,medium,1,0,6,SLP-1002,Moderate Bends / Slope,1,0.6,Van involved in Slipped incident at Hingula / Ganethenna,26.0,22.74310344827586,29.849999999999998,2.0,15.0,1009.0,1,7.1,1,0,light,6.0,0.0
KDG-0004,2021-01-07,7:56:59,Thursday,0,7,Mawanella Area,7.252781,80.465191,470,lorry,1,excessive_speed,40,male,14,68,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,medium,1,0,5,SLP-1003,Flat Urban / Town Center,0,0.48,Lorry involved in Excessive Speed incident at Mawanella Area,27.0,22.74310344827586,29.849999999999998,0.0,12.0,1011.0,1,7.1,0,0,none,4.0,2.0
KDG-0005,2021-01-07,7:56:59,Thursday,0,7,Mawanella Area,7.253932,80.450143,470,motorcycle,1,slipped,27,male,5,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,straight,1.0,wet,medium,1,0,5,SLP-1004,Flat Urban / Town Center,1,0.48,Motorcycle involved in Slipped incident at Mawanella Area,26.0,22.74310344827586,29.849999999999998,2.0,15.0,1009.0,1,7.1,1,0,light,4.0,-2.0
KDG-0006,2021-01-20,8:52:43,Wednesday,0,8,Upper Kadugannawa Pass,7.257262,80.504285,620,bus,1,overtaking,43,male,16,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,13.0,dry,high,2,1,5,SLP-1005,Hairpin Bends / Steep Gradient,0,0.48,Bus involved in Overtaking incident at Upper Kadugannawa Pass,27.0,22.74310344827586,29.849999999999998,0.0,12.0,1011.0,1,7.1,0,0,none,2.0,2.0
KDG-0007,2021-02-04,15:58:20,Thursday,0,15,Upper Kadugannawa Pass,7.255653,80.506161,620,lorry,1,slipped,40,male,14,42,50,0,light_rain,2.0,26.0,4.0,15.0,1009.0,sharp,13.0,wet,low,0,0,7,SLP-1006,Hairpin Bends / Steep Gradient,1,0.72,Lorry involved in Slipped incident at Upper Kadugannawa Pass,26.0,22.646875,32.03125,2.0,15.0,1009.0,2,9.4,1,0,light,4.0,-2.0
KDG-0008,2021-02-04,15:58:20,Thursday,0,15,Pahala Kadugannawa (Lower Pass),7.25442,80.490807,560,motorcycle,1,overtaking,27,male,5,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,sharp,11.0,dry,low,0,0,4,SLP-1007,Steep Winding Road,0,0.44,Motorcycle involved in Overtaking incident at Pahala Kadugannawa (Lower Pass),27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,2.0,2.0
KDG-0009,2021-02-04,15:58:20,Thursday,0,15,Hingula / Ganethenna,7.254054,80.4764,520,three-wheeler,1,slipped,32,male,8,52,60,0,light_rain,2.0,26.0,4.0,15.0,1009.0,mild,7.0,wet,low,0,0,6,SLP-1008,Moderate Bends / Slope,1,0.6,Three-Wheeler involved in Slipped incident at Hingula / Ganethenna,26.0,22.646875,32.03125,2.0,15.0,1009.0,2,9.4,1,0,light,4.0,-2.0
KDG-0010,2021-02-04,15:58:20,Thursday,0,15,Mawanella Area,7.25392,80.461625,470,three-wheeler,1,overtaking,32,male,8,58,50,1,clear,0.0,27.0,8.0,12.0,1011.0,straight,1.0,dry,low,0,0,3,SLP-1009,Flat Urban / Town Center,0,0.32,Three-Wheeler involved in Overtaking incident at Mawanella Area,27.0,22.646875,32.03125,0.0,12.0,1011.0,2,9.4,0,0,none,2.0,2.0
