feature,group,mi_score,in_model
weather_enc,Weather,0.197,True
location_risk,Location,0.195,True
slope_cat,Road,0.177,True
road_curv_enc,Road,0.171,True
is_sharp,Road,0.157,True
is_steep,Road,0.156,True
vis_class,Weather,0.147,True
slope_x_curve,Road,0.14,True
is_low_vis,Weather,0.134,True
high_risk_combo,Interaction,0.131,True
rain_x_curve,Interaction,0.119,True
vis_x_night,Interaction,0.098,True
speed_ratio,Speed,0.091,True
surface_enc,Road,0.087,True
lorry_steep,Interaction,0.084,True
speed_wet,Interaction,0.081,True
wet_night,Interaction,0.073,True
is_fog_risk,Weather,0.068,True
is_night,Time,0.065,True
hour_cos,Time,0.06,True
is_over_limit,Speed,0.057,True
is_monsoon,Time,0.053,True
rain_intensity,Weather,0.051,True
vis_rain_prod,Interaction,0.051,True
vehicle_risk_weight,Vehicle,0.045,True
is_morning_peak,Time,0.037,True
season_enc,Time,0.035,True
wx_rain_3day,Weather,0.034,True
speed_excess_kmh,Speed,0.034,True
is_two_wheeler,Vehicle,0.031,True
is_heavy_vehicle,Vehicle,0.031,True
moto_rain,Interaction,0.029,True
young_driver,Driver,0.028,True
senior_driver,Driver,0.026,True
hour_sin,Time,0.025,True
inexperienced,Driver,0.022,True
elevation_m,Road,0.0,False
is_weekend,Other,0.0,False
hour,Time,0.0,False
estimated_speed_kmh,Speed,0.0,False
driving_exp_yrs,Driver,0.0,False
driver_age,Driver,0.0,False
num_vehicles,Vehicle,0.0,False
temp_avg_c,Other,0.0,False
precipitation_mm,Weather,0.0,False
speeding,Speed,0.0,False
speed_limit_kmh,Road,0.0,False
is_evening_peak,Time,0.0,False
veh_car,Other,0.0,False
veh_three-wheeler,Other,0.0,False
wx_tavg,Weather,0.0,False
wx_wspd,Weather,0.0,False
wx_prcp,Weather,0.0,False
wx_tmax,Weather,0.0,False
wx_pres,Weather,0.0,False
wx_heavy_rain,Other,0.0,False
wx_is_rainy,Other,0.0,False
wx_temp_range,Weather,0.0,False
wx_pressure_drop,Other,0.0,False
visibility_km,Other,0.0,False
wx_tmin,Weather,0.0,False
wind_speed_kmh,Other,0.0,False
veh_bus,Other,0.0,False
veh_lorry,Other,0.0,False
veh_motorcycle,Other,0.0,False
road_slope_deg,Road,0.0,False
acc_head_on,Other,0.0,False
acc_sideswipe,Other,0.0,False
acc_vehicle_fire,Other,0.0,False
acc_pedestrian_hit,Other,0.0,False
acc_rear_end,Other,0.0,False
acc_overturn,Other,0.0,False
acc_hit_barrier,Other,0.0,False
acc_fell_off_road,Other,0.0,False
exp_ratio,Driver,0.0,False
