date,tmax,tmin,tavg,prcp,rain,wind_speed_max_kmh,wind_gusts_max_kmh,wmo_code,sunrise,sunset,wmo_description,weather_condition,temp_range
2019-01-01,26.4,19.8,22.3,0.2,0.2,20.1,45.0,51,2019-01-01T06:19,2019-01-01T18:02,Light drizzle,light_rain,6.6
2019-01-02,25.8,19.7,22.2,0.0,0.0,15.2,33.1,3,2019-01-02T06:20,2019-01-02T18:02,Overcast,clear,6.1
2019-01-03,27.1,19.7,22.4,0.0,0.0,15.2,34.6,3,2019-01-03T06:20,2019-01-03T18:03,Overcast,clear,7.4
2019-01-04,25.9,18.7,21.8,0.0,0.0,17.4,39.2,3,2019-01-04T06:20,2019-01-04T18:03,Overcast,clear,7.2
2019-01-05,26.5,17.8,22.2,0.0,0.0,18.7,41.4,3,2019-01-05T06:21,2019-01-05T18:04,Overcast,clear,8.7
2019-01-06,25.8,18.4,21.7,0.0,0.0,18.6,41.8,2,2019-01-06T06:21,2019-01-06T18:04,Partly cloudy,clear,7.4
2019-01-07,26.6,17.4,22.1,0.0,0.0,14.7,34.2,3,2019-01-07T06:22,2019-01-07T18:05,Overcast,clear,9.2
2019-01-08,27.4,18.9,22.9,0.3,0.3,15.4,35.6,51,2019-01-08T06:22,2019-01-08T18:05,Light drizzle,light_rain,8.5
2019-01-09,27.2,19.7,22.9,0.0,0.0,20.5,45.4,1,2019-01-09T06:22,2019-01-09T18:06,Mainly clear,clear,7.5
2019-01-10,27.8,20.7,23.2,0.3,0.3,19.2,43.2,51,2019-01-10T06:23,2019-01-10T18:06,Light drizzle,light_rain,7.1
2019-01-11,27.1,20.2,23.2,0.5,0.5,16.4,37.8,51,2019-01-11T06:23,2019-01-11T18:07,Light drizzle,light_rain,6.9
2019-01-12,26.1,19.6,22.9,0.5,0.5,20.5,45.4,51,2019-01-12T06:23,2019-01-12T18:07,Light drizzle,light_rain,6.5
2019-01-13,27.1,20.9,22.9,18.2,18.2,19.5,43.2,65,2019-01-13T06:24,2019-01-13T18:08,Heavy rain,heavy_rain,6.2
2019-01-14,25.7,20.9,22.8,10.0,10.0,16.9,38.9,63,2019-01-14T06:24,2019-01-14T18:08,Moderate rain,light_rain,4.8
2019-01-15,26.6,20.5,22.9,2.2,2.2,14.7,33.8,53,2019-01-15T06:24,2019-01-15T18:09,Moderate drizzle,light_rain,6.1
2019-01-16,25.0,19.7,22.2,13.9,13.9,18.3,41.0,63,2019-01-16T06:24,2019-01-16T18:09,Moderate rain,light_rain,5.3
2019-01-17,25.2,19.2,21.8,0.0,0.0,19.6,43.6,3,2019-01-17T06:25,2019-01-17T18:10,Overcast,clear,6.0
2019-01-18,24.9,17.1,20.9,0.0,0.0,16.3,37.4,3,2019-01-18T06:25,2019-01-18T18:10,Overcast,clear,7.8
