feature,rf_mdi,xgb_mdi
slope_cat,0.03461353690082068,0.07098635
is_steep,0.021916476042361913,0.062058616
vis_class,0.08500667989839285,0.051248856
speed_limit_kmh,0.023017656397854414,0.03831386
is_low_vis,0.013646811745521707,0.037532143
vis_x_night,0.033547452257610855,0.033727985
weather_enc,0.048147744375864096,0.031150097
road_slope_deg,0.03847572087910871,0.029155739
road_curv_enc,0.023325846869867287,0.024894714
visibility_km,0.07744231944761149,0.024773108
is_sharp,0.02170507841346978,0.022979565
vis_rain_prod,0.017660786357399115,0.021826625
speed_wet,0.012656062360210817,0.021093586
veh_bus,0.004236432895246504,0.01729978
speeding,0.010552099281087976,0.016736517
moto_rain,0.0030701619412051876,0.016666759
precipitation_mm,0.020784559112461506,0.016183777
acc_rear_end,0.002169260535776289,0.015761107
is_heavy_vehicle,0.005854545395761511,0.015598995
veh_three-wheeler,0.0009544820820687762,0.015306041
is_over_limit,0.011256194997244283,0.0151449
veh_car,0.014795582215606761,0.01479965
veh_lorry,0.0047602272546651055,0.01435455
high_risk_combo,0.007743032591760348,0.014235782
wet_night,0.004401009309474966,0.01373621
veh_motorcycle,0.002336403827787021,0.013681703
vehicle_risk_weight,0.019770871544724893,0.013421097
slope_x_curve,0.04835529219171075,0.01275897
speed_excess_kmh,0.0176792857377414,0.012441365
estimated_speed_kmh,0.020030646332509356,0.012270407
rain_x_curve,0.018878040223645386,0.012211575
location_risk,0.032932158449933135,0.012176214
acc_hit_barrier,0.0024297041676394613,0.011860577
surface_enc,0.020339802874589766,0.0112779755
is_night,0.006829231944604082,0.011161801
is_two_wheeler,0.004235762912905365,0.010287555
rain_intensity,0.011384245017133327,0.010219317
is_fog_risk,0.006144544785197262,0.009990564
wx_prcp,0.011765393735901268,0.009523831
acc_vehicle_fire,0.0012661035595518495,0.009026907
speed_ratio,0.025133603164369897,0.008954542
lorry_steep,0.002833499743947619,0.008798809
wx_is_rainy,0.004251764624170067,0.0083907535
acc_overturn,0.0016697147328203665,0.00802659
num_vehicles,0.0021338899497467495,0.007720215
is_morning_peak,0.005843384957996787,0.006927967
elevation_m,0.012180256368926345,0.0065233544
temp_avg_c,0.011760751501053334,0.006403436
season_enc,0.003180994387592029,0.005850113
wx_tmax,0.011065446891977295,0.0057441234
hour,0.010141767432661734,0.0056101345
hour_cos,0.015441935715463326,0.00552503
inexperienced,0.0011875054601774733,0.005511288
acc_head_on,0.0008589085774782471,0.005415568
is_weekend,0.0013960176850874037,0.0053850985
wx_rain_3day,0.009729218477739788,0.005341148
exp_ratio,0.008547282238229826,0.0050567854
wx_wspd,0.009385458604720313,0.005053282
young_driver,0.0010570591018478918,0.0049819457
driver_age,0.010007943327872025,0.0049415343
is_evening_peak,0.002994633989453628,0.0048639574
wx_tmin,0.010435844907814358,0.004715761
wind_speed_kmh,0.009257826962429416,0.0044290125
is_monsoon,0.0016342209410063761,0.0043853144
wx_pressure_drop,0.0110880477515991,0.0042705145
wx_temp_range,0.00855267717632282,0.0036839682
hour_sin,0.01045969748339606,0.0036355434
wx_tavg,0.009652519748452033,0.0034046872
wx_pres,0.00881004362881928,0.0032890672
driving_exp_yrs,0.00784156615571905,0.0031323219
acc_pedestrian_hit,0.001064581730747067,0.0024121862
acc_sideswipe,0.0010316345963059075,0.0019188119
acc_fell_off_road,0.0009718449392505872,0.0018219979
wx_heavy_rain,0.0018506316917077715,0.0
senior_driver,0.00043057848907076445,0.0
