,mean_abs_shap
visibility_km,0.035125675163900076
slope_x_curve,0.03428582223013856
vis_class,0.03275428278985053
weather_enc,0.030026533782317642
location_risk,0.02735695442413883
slope_cat,0.023120343728839986
road_slope_deg,0.02174144743035478
speed_limit_kmh,0.01843821888059399
road_curv_enc,0.017813536041756915
vis_x_night,0.0177132049967208
is_sharp,0.016696329048996598
is_steep,0.016168029142441868
vehicle_risk_weight,0.015020423089495244
speed_excess_kmh,0.01375191694201082
surface_enc,0.013494601608738856
precipitation_mm,0.013070821023314964
speed_ratio,0.011281041248312404
vis_rain_prod,0.011266701598308877
rain_x_curve,0.010804771072897979
speed_wet,0.010155475633816384
veh_car,0.009471175482002376
hour_cos,0.0085346908957953
is_heavy_vehicle,0.008335803367932694
estimated_speed_kmh,0.007579996867677329
is_low_vis,0.007251278699817497
is_over_limit,0.006934555824790569
wx_prcp,0.0067391125860435195
speeding,0.006709430409797339
rain_intensity,0.006265275402597363
temp_avg_c,0.005585367043348621
high_risk_combo,0.005582743006284142
is_night,0.004629278957733329
driver_age,0.00455361158200661
hour_sin,0.004281662610607955
is_evening_peak,0.003955267250773553
veh_lorry,0.003841569916753815
wx_is_rainy,0.0037708491238235974
wx_tmax,0.0037594297663757614
wet_night,0.003447708836384914
is_two_wheeler,0.0034409064822000213
wx_tmin,0.0034237403431020864
is_fog_risk,0.00299462661457066
wx_pres,0.002991472879129103
hour,0.002897382636522682
wx_rain_3day,0.002844010589575589
moto_rain,0.002752490416653901
is_morning_peak,0.0026416819976489907
elevation_m,0.0025793161442086805
wx_pressure_drop,0.0025496379747084637
acc_vehicle_fire,0.0025220703446809435
wind_speed_kmh,0.0024386474412969364
wx_tavg,0.0023864770983842137
driving_exp_yrs,0.0022630569574587063
lorry_steep,0.0019776944297658404
veh_motorcycle,0.00194747977667171
veh_bus,0.0018751263152570574
wx_wspd,0.0018731857352368819
wx_temp_range,0.00179198473048008
exp_ratio,0.0017416832389417958
acc_rear_end,0.0012966126748189513
season_enc,0.0012262733566348394
acc_hit_barrier,0.001085577857393074
num_vehicles,0.0010783489163189099
acc_fell_off_road,0.0008004321825053938
wx_heavy_rain,0.0007303511626722033
is_monsoon,0.0006213480306239063
acc_pedestrian_hit,0.0005941472224073863
acc_overturn,0.000576434071577262
acc_head_on,0.000572506939364502
inexperienced,0.00047437553676853345
acc_sideswipe,0.00047325966339832945
young_driver,0.00046513890274045073
is_weekend,0.0004024875183974195
veh_three-wheeler,0.00019061896313216783
senior_driver,0.000148009132781743
